HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-04-30 22:00:00;2024-05-01 00:00:00;DK2;283,420013;38,000000
2024-04-30 23:00:00;2024-05-01 01:00:00;DK2;273,049988;36,610001
2024-05-01 00:00:00;2024-05-01 02:00:00;DK2;267,160004;35,820000
2024-05-01 01:00:00;2024-05-01 03:00:00;DK2;261,790009;35,099998
2024-05-01 02:00:00;2024-05-01 04:00:00;DK2;265,440002;35,590000
2024-05-01 03:00:00;2024-05-01 05:00:00;DK2;265,149994;35,549999
2024-05-01 04:00:00;2024-05-01 06:00:00;DK2;285,579987;38,290001
2024-05-01 05:00:00;2024-05-01 07:00:00;DK2;209,429993;28,080000
2024-05-01 06:00:00;2024-05-01 08:00:00;DK2;64,739998;8,680000
2024-05-01 07:00:00;2024-05-01 09:00:00;DK2;0,070000;0,010000
2024-05-01 08:00:00;2024-05-01 10:00:00;DK2;-7,230000;-0,970000
2024-05-01 09:00:00;2024-05-01 11:00:00;DK2;-18,049999;-2,420000
2024-05-01 10:00:00;2024-05-01 12:00:00;DK2;-18,270000;-2,450000
2024-05-01 11:00:00;2024-05-01 13:00:00;DK2;-15,590000;-2,090000
2024-05-01 12:00:00;2024-05-01 14:00:00;DK2;-15,360000;-2,060000
2024-05-01 13:00:00;2024-05-01 15:00:00;DK2;-18,270000;-2,450000
2024-05-01 14:00:00;2024-05-01 16:00:00;DK2;-7,310000;-0,980000
2024-05-01 15:00:00;2024-05-01 17:00:00;DK2;-0,750000;-0,100000
2024-05-01 16:00:00;2024-05-01 18:00:00;DK2;173,410004;23,250000
2024-05-01 17:00:00;2024-05-01 19:00:00;DK2;311,910004;41,820000
2024-05-01 18:00:00;2024-05-01 20:00:00;DK2;363,970001;48,799999
2024-05-01 19:00:00;2024-05-01 21:00:00;DK2;253,660004;34,009998
2024-05-01 20:00:00;2024-05-01 22:00:00;DK2;223,149994;29,920000
2024-05-01 21:00:00;2024-05-01 23:00:00;DK2;164,080002;22,000000
2024-05-01 22:00:00;2024-05-02 00:00:00;DK2;108,589996;14,560000
2024-05-01 23:00:00;2024-05-02 01:00:00;DK2;81,599998;10,940000
2024-05-02 00:00:00;2024-05-02 02:00:00;DK2;74,580002;10,000000
2024-05-02 01:00:00;2024-05-02 03:00:00;DK2;58,180000;7,800000
2024-05-02 02:00:00;2024-05-02 04:00:00;DK2;81,599998;10,940000
2024-05-02 03:00:00;2024-05-02 05:00:00;DK2;226,889999;30,420000
2024-05-02 04:00:00;2024-05-02 06:00:00;DK2;296,989990;39,820000
2024-05-02 05:00:00;2024-05-02 07:00:00;DK2;386,049988;51,759998
