time_slot,time_of_day,load_kWh_per_15min
1,00:00,52954.29390416667
2,00:15,52565.184971875
3,00:30,52176.076039583335
4,00:45,51786.96710729166
5,01:00,51397.858174999994
6,01:15,50620.931521875
7,01:30,49844.004868749995
8,01:45,49067.078215625
9,02:00,48290.1515625
10,02:15,47219.911728125
11,02:30,46149.67189375
12,02:45,45079.432059375
13,03:00,44009.192225
14,03:15,42996.02400416667
15,03:30,41982.85578333333
16,03:45,40969.6875625
17,04:00,39956.51934166667
18,04:15,39670.648270833335
19,04:30,39384.777200000004
20,04:45,39098.90612916667
21,05:00,38813.035058333335
22,05:15,40205.821440625004
23,05:30,41598.60782291667
24,05:45,42991.39420520833
25,06:00,44384.1805875
26,06:15,46210.14431458333
27,06:30,48036.10804166667
28,06:45,49862.07176875
29,07:00,51688.035495833334
30,07:15,52531.247058333334
31,07:30,53374.458620833335
32,07:45,54217.670183333335
33,08:00,55060.881745833336
34,08:15,55626.326278125
35,08:30,56191.77081041667
36,08:45,56757.21534270834
37,09:00,57322.659875000005
38,09:15,57633.074234375
39,09:30,57943.48859375
40,09:45,58253.902953125
41,10:00,58564.317312499996
42,10:15,58831.047618749995
43,10:30,59097.777925
44,10:45,59364.50823125
45,11:00,59631.2385375
46,11:15,59890.16825
47,11:30,60149.0979625
48,11:45,60408.027675
49,12:00,60666.9573875
50,12:15,60557.40845520834
51,12:30,60447.85952291667
52,12:45,60338.310590625
53,13:00,60228.76165833334
54,13:15,60140.32790416667
55,13:30,60051.89415
56,13:45,59963.46039583333
57,14:00,59875.02664166666
58,14:15,60030.504015624996
59,14:30,60185.981389583336
60,14:45,60341.45876354167
61,15:00,60496.9361375
62,15:15,61866.41901770834
63,15:30,63235.901897916665
64,15:45,64605.38477812499
65,16:00,65974.86765833333
66,16:15,69102.61813437499
67,16:30,72230.36861041666
68,16:45,75358.11908645833
69,17:00,78485.8695625
70,17:15,79550.26413541666
71,17:30,80614.65870833333
72,17:45,81679.05328125
73,18:00,82743.44785416666
74,18:15,81114.26446041666
75,18:30,79485.08106666667
76,18:45,77855.89767291668
77,19:00,76226.71427916667
78,19:15,74840.07971979167
79,19:30,73453.44516041667
80,19:45,72066.81060104167
81,20:00,70680.17604166667
82,20:15,70015.06628333333
83,20:30,69349.956525
84,20:45,68684.84676666667
85,21:00,68019.73700833334
86,21:15,66647.19135416667
87,21:30,65274.6457
88,21:45,63902.10004583333
89,22:00,62529.554391666665
90,22:15,60655.04652916666
91,22:30,58780.53866666666
92,22:45,56906.030804166665
93,23:00,55031.52294166666
94,23:15,54512.215682291666
95,23:30,53992.90842291666
96,23:45,53473.601163541665
