TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Hovedstaden;Erhverv;Erhverv;565281,298000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Midtjylland;Erhverv;Erhverv;541027,873000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Nordjylland;Erhverv;Erhverv;319235,142000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Sjælland;Erhverv;Erhverv;309903,139000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Syddanmark;Erhverv;Erhverv;657818,496000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;84944,387000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;48760,378000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;25097,211000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Sjælland;Offentlige foretagender;Erhverv;36115,368000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;44817,972000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Hovedstaden;Privat;Privat;363313,425000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Midtjylland;Privat;Privat;306669,017000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Nordjylland;Privat;Privat;156818,251000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Sjælland;Privat;Privat;278147,533000
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Syddanmark;Privat;Privat;289363,360000
2025-12-31 21:00:00;2025-12-31 22:00:00;Region Hovedstaden;Privat;Privat;385531,952000
2025-12-31 21:00:00;2025-12-31 22:00:00;Region Midtjylland;Privat;Privat;324699,412000
2025-12-31 21:00:00;2025-12-31 22:00:00;Region Nordjylland;Privat;Privat;165834,303000
2025-12-31 21:00:00;2025-12-31 22:00:00;Region Sjælland;Privat;Privat;292298,507000
