TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2024-04-30 22:00:00;2024-05-01 00:00:00;Region Hovedstaden;Privat;Privat;206136,006000
2024-04-30 23:00:00;2024-05-01 01:00:00;Region Hovedstaden;Privat;Privat;199702,467000
2024-05-01 00:00:00;2024-05-01 02:00:00;Region Hovedstaden;Privat;Privat;191563,487000
2024-05-01 01:00:00;2024-05-01 03:00:00;Region Hovedstaden;Privat;Privat;180493,885000
2024-05-01 02:00:00;2024-05-01 04:00:00;Region Hovedstaden;Privat;Privat;160924,938000
2024-05-01 03:00:00;2024-05-01 05:00:00;Region Hovedstaden;Privat;Privat;156570,652000
2024-05-01 04:00:00;2024-05-01 06:00:00;Region Hovedstaden;Privat;Privat;185373,537000
2024-05-01 05:00:00;2024-05-01 07:00:00;Region Hovedstaden;Privat;Privat;220919,762000
2024-05-01 06:00:00;2024-05-01 08:00:00;Region Hovedstaden;Privat;Privat;229973,490000
2024-05-01 07:00:00;2024-05-01 09:00:00;Region Hovedstaden;Privat;Privat;233694,438000
2024-05-01 08:00:00;2024-05-01 10:00:00;Region Hovedstaden;Privat;Privat;228163,857000
2024-05-01 09:00:00;2024-05-01 11:00:00;Region Hovedstaden;Privat;Privat;224158,818000
2024-05-01 10:00:00;2024-05-01 12:00:00;Region Hovedstaden;Privat;Privat;221396,946000
2024-05-01 11:00:00;2024-05-01 13:00:00;Region Hovedstaden;Privat;Privat;214944,305000
2024-05-01 12:00:00;2024-05-01 14:00:00;Region Hovedstaden;Privat;Privat;212862,680000
2024-05-01 13:00:00;2024-05-01 15:00:00;Region Hovedstaden;Privat;Privat;218913,270000
2024-05-01 14:00:00;2024-05-01 16:00:00;Region Hovedstaden;Privat;Privat;239824,458000
2024-05-01 15:00:00;2024-05-01 17:00:00;Region Hovedstaden;Privat;Privat;296744,993000
2024-05-01 16:00:00;2024-05-01 18:00:00;Region Hovedstaden;Privat;Privat;317167,414000
2024-05-01 17:00:00;2024-05-01 19:00:00;Region Hovedstaden;Privat;Privat;296111,148000
2024-05-01 18:00:00;2024-05-01 20:00:00;Region Hovedstaden;Privat;Privat;280703,454000
2024-05-01 19:00:00;2024-05-01 21:00:00;Region Hovedstaden;Privat;Privat;275491,742000
2024-05-01 20:00:00;2024-05-01 22:00:00;Region Hovedstaden;Privat;Privat;245116,577000
2024-05-01 21:00:00;2024-05-01 23:00:00;Region Hovedstaden;Privat;Privat;209472,539000
2024-05-01 22:00:00;2024-05-02 00:00:00;Region Hovedstaden;Privat;Privat;215972,543000
2024-05-01 23:00:00;2024-05-02 01:00:00;Region Hovedstaden;Privat;Privat;207240,683000
2024-05-02 00:00:00;2024-05-02 02:00:00;Region Hovedstaden;Privat;Privat;187834,976000
2024-05-02 01:00:00;2024-05-02 03:00:00;Region Hovedstaden;Privat;Privat;173345,911000
2024-05-02 02:00:00;2024-05-02 04:00:00;Region Hovedstaden;Privat;Privat;148215,160000
2024-05-02 03:00:00;2024-05-02 05:00:00;Region Hovedstaden;Privat;Privat;147732,435000
2024-05-02 04:00:00;2024-05-02 06:00:00;Region Hovedstaden;Privat;Privat;183763,703000
2024-05-02 05:00:00;2024-05-02 07:00:00;Region Hovedstaden;Privat;Privat;211991,845000
2024-05-02 06:00:00;2024-05-02 08:00:00;Region Hovedstaden;Privat;Privat;205555,843000
2024-05-02 07:00:00;2024-05-02 09:00:00;Region Hovedstaden;Privat;Privat;199678,543000
2024-05-02 08:00:00;2024-05-02 10:00:00;Region Hovedstaden;Privat;Privat;196475,070000
2024-05-02 09:00:00;2024-05-02 11:00:00;Region Hovedstaden;Privat;Privat;195973,335000
2024-05-02 10:00:00;2024-05-02 12:00:00;Region Hovedstaden;Privat;Privat;197500,649000
