soc_percent,voltage_mean_V,voltage_min_V,voltage_max_V,current_mean_A,power_mean_W
0,3.117176517150396,2.9728,3.2249,-0.12783647757255936,-0.39869537564643803
1,3.3440396656534954,3.2249,3.4431,-0.1371434650455927,-0.4587732999088146
2,3.5096514237855945,3.4431,3.5686,-0.14394066164154104,-0.5052348916038526
3,3.6116800000000002,3.5686,3.6509,-0.14811172566371683,-0.534954967920354
4,3.679174448529412,3.6496,3.7032,-0.15085124080882353,-0.5550179232169118
5,3.719810338345865,3.7032,3.7332,-0.1525135338345865,-0.5673244321569549
6,3.7408842205323194,3.7332,3.7475,-0.1533584125475285,-0.5736967424762357
7,3.7519629063097515,3.7475,3.7566,-0.15380387189292544,-0.5770666675143403
8,3.759251055662188,3.7554,3.7632,-0.15407835892514396,-0.5792193457149712
9,3.765035192307692,3.7619,3.7684,-0.15430798076923077,-0.5809750782788461
10,3.769792857142857,3.7671,3.7724,-0.15454358108108107,-0.5825973732625482
11,3.7746611218568664,3.7711,3.7777,-0.15476286266924566,-0.5841775102127659
12,3.7830657587548635,3.7777,3.7881,-0.1551341926070039,-0.5868832359776264
13,3.7929876953125,3.7881,3.7973,-0.155549462890625,-0.5899974788867187
14,3.800979960707269,3.7973,3.8051,-0.15588388998035363,-0.5925117254420432
15,3.8080505905511814,3.8039,3.8117,-0.1561849409448819,-0.594760338011811
16,3.8153570297029704,3.8116,3.8195,-0.15649965346534653,-0.5971022422722773
17,3.822265674603175,3.8182,3.8261,-0.15679950396825396,-0.5993295122470238
18,3.8281474103585658,3.8248,3.8313,-0.15705951195219123,-0.601247063814741
19,3.8327748,3.83,3.8353,-0.1572759,-0.6028031754700001
20,3.8366181999999998,3.834,3.8379,-0.1574624,-0.604123162535
21,3.840281963927856,3.8379,3.8431,-0.15763562124248495,-0.6053652870591182
22,3.844020523138833,3.8419,3.8458,-0.15780095573440645,-0.6065901589637827
23,3.847593561368209,3.8458,3.8497,-0.15796453722334003,-0.6077833868963782
24,3.8510487903225807,3.8485,3.8524,-0.15812515120967743,-0.6089477137600806
25,3.8539388663967613,3.8524,3.855,-0.15826816801619434,-0.6099558745900809
26,3.8567048484848483,3.855,3.8576,-0.15838424242424243,-0.6108412985404041
27,3.8590385395537528,3.8576,3.8603,-0.15848823529411762,-0.6116122280070995
28,3.8611939148073025,3.8602,3.8628,-0.15858240365111562,-0.612317427560852
29,3.863350709939148,3.8616,3.8642,-0.15867008113590264,-0.6129981867647059
30,3.8651747967479673,3.8642,3.8668,-0.15874867886178862,-0.613591407398374
31,3.8672038696537676,3.8655,3.8681,-0.15882927698574337,-0.6142252060285133
32,3.869140936863544,3.8681,3.8707,-0.15890544806517312,-0.6148275891038697
33,3.871228775510204,3.8694,3.872,-0.1589926530612245,-0.6154969456785714
34,3.8733832653061224,3.872,3.8746,-0.159084693877551,-0.6161960089489796
35,3.8756761224489797,3.8746,3.8772,-0.1591776530612245,-0.6169210501785715
36,3.8781147540983607,3.8772,3.8798,-0.15927679303278688,-0.6176937028022541
37,3.8807592213114757,3.8786,3.8824,-0.1593793545081967,-0.6185129233094263
38,3.8835336065573767,3.8824,3.8851,-0.15949579918032789,-0.619407325215164
39,3.8864181069958845,3.8851,3.8877,-0.15961867283950618,-0.6203449334104939
40,3.8894777777777776,3.8877,3.8916,-0.1597510802469136,-0.6213483099022634
41,3.8929222680412368,3.8903,3.8942,-0.15987427835051546,-0.6223781796597939
42,3.8958278925619836,3.8942,3.8969,-0.16000743801652895,-0.6233614674380166
43,3.8986053719008265,3.8968,3.9007,-0.16011673553719008,-0.6242319894679752
44,3.901289026915114,3.8995,3.9033,-0.1602164078674948,-0.6250505329813665
45,3.9038755186721996,3.9021,3.9059,-0.16032033195020748,-0.6258706399844398
46,3.9069441908713696,3.9047,3.9086,-0.16043651452282157,-0.626816545186722
47,3.910386875,3.9086,3.9125,-0.16057223958333333,-0.6278996198333334
48,3.914285833333333,3.9124,3.9164,-0.16071276041666668,-0.6290757328437501
49,3.918340083507307,3.9164,3.9203,-0.16087426931106472,-0.6303601511116911
50,3.922557112970711,3.9203,3.9255,-0.1610335251046025,-0.6316632598430962
51,3.9271492662473793,3.9242,3.9294,-0.1612095387840671,-0.6330939888626835
52,3.9318275789473685,3.9294,3.9346,-0.16139189473684212,-0.6345651809894737
53,3.9368595789473684,3.9346,3.9398,-0.16159005263157894,-0.6361574324263158
