pem_state,charge_current_setpoint_A,charge_duration_setpoint_s,hydrogen_volume_mL,avg_usable_power_W,usable_discharge_duration_s,output_energy_J,min_discharge_voltage_V,file
EMPTY,0.3,30.0,1.6,0.024256466966299208,133.0,3.24275224673125,-0.064,discharge_030A_30s_r1.csv
EMPTY,0.2,30.0,0.2,0.027136397193292253,148.0,4.054505300535,-0.049,discharge_020A_30s_r1.csv
LOW,0.2,60.0,1.6,0.02874016175937956,144.0,4.13699420964625,-0.0552,discharge_020A_60s_r1.csv
LOW,0.4,30.0,2.2,0.02764987615324074,169.0,4.711012546265,-0.034,discharge_040A_30s_r1.csv
MEDIUM,0.3,60.0,2.2,0.028797939974213194,206.0,5.975067633641249,-0.0427,discharge_030A_60s_r1.csv
MEDIUM,0.4,60.0,4.0,0.02755349558002737,287.0,7.931880594459999,-0.064,discharge_040A_60s_r1.csv
HIGH,0.2,120.0,3.0,0.026360744459246133,408.0,10.79413530631375,-0.064,discharge_020A_120s_r1.csv
HIGH,0.3,120.0,4.2,0.026910865367717918,434.0,11.72839698767,-0.0628,discharge_030A_120s_r1.csv
FULL,0.4,120.0,6.0,0.028669020210545973,457.0,13.125977925027499,-0.005299999999999999,discharge_040A_120s_r1.csv
FULL,,,,0.0261242751923521,551.0,14.35410325764625,-0.064,discharge_PEM_full.csv
