TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2025-04-30 22:00:00;2025-05-01 00:00:00;Region Hovedstaden;Privat;Privat;204683,646000
2025-04-30 23:00:00;2025-05-01 01:00:00;Region Hovedstaden;Privat;Privat;207073,171000
2025-05-01 00:00:00;2025-05-01 02:00:00;Region Hovedstaden;Privat;Privat;201825,504000
2025-05-01 01:00:00;2025-05-01 03:00:00;Region Hovedstaden;Privat;Privat;176767,966000
2025-05-01 02:00:00;2025-05-01 04:00:00;Region Hovedstaden;Privat;Privat;160638,754000
2025-05-01 03:00:00;2025-05-01 05:00:00;Region Hovedstaden;Privat;Privat;173754,154000
2025-05-01 04:00:00;2025-05-01 06:00:00;Region Hovedstaden;Privat;Privat;198572,399000
2025-05-01 05:00:00;2025-05-01 07:00:00;Region Hovedstaden;Privat;Privat;226732,879000
2025-05-01 06:00:00;2025-05-01 08:00:00;Region Hovedstaden;Privat;Privat;229613,701000
2025-05-01 07:00:00;2025-05-01 09:00:00;Region Hovedstaden;Privat;Privat;231895,966000
2025-05-01 08:00:00;2025-05-01 10:00:00;Region Hovedstaden;Privat;Privat;234382,746000
2025-05-01 09:00:00;2025-05-01 11:00:00;Region Hovedstaden;Privat;Privat;238366,631000
2025-05-01 10:00:00;2025-05-01 12:00:00;Region Hovedstaden;Privat;Privat;239280,376000
2025-05-01 11:00:00;2025-05-01 13:00:00;Region Hovedstaden;Privat;Privat;234059,171000
2025-05-01 12:00:00;2025-05-01 14:00:00;Region Hovedstaden;Privat;Privat;230979,555000
2025-05-01 13:00:00;2025-05-01 15:00:00;Region Hovedstaden;Privat;Privat;231433,699000
2025-05-01 14:00:00;2025-05-01 16:00:00;Region Hovedstaden;Privat;Privat;252052,193000
2025-05-01 15:00:00;2025-05-01 17:00:00;Region Hovedstaden;Privat;Privat;296421,187000
2025-05-01 16:00:00;2025-05-01 18:00:00;Region Hovedstaden;Privat;Privat;315036,174000
2025-05-01 17:00:00;2025-05-01 19:00:00;Region Hovedstaden;Privat;Privat;296215,144000
2025-05-01 18:00:00;2025-05-01 20:00:00;Region Hovedstaden;Privat;Privat;283732,897000
2025-05-01 19:00:00;2025-05-01 21:00:00;Region Hovedstaden;Privat;Privat;278271,537000
2025-05-01 20:00:00;2025-05-01 22:00:00;Region Hovedstaden;Privat;Privat;248946,351000
2025-05-01 21:00:00;2025-05-01 23:00:00;Region Hovedstaden;Privat;Privat;213065,274000
2025-05-01 22:00:00;2025-05-02 00:00:00;Region Hovedstaden;Privat;Privat;211283,752000
2025-05-01 23:00:00;2025-05-02 01:00:00;Region Hovedstaden;Privat;Privat;208880,172000
2025-05-02 00:00:00;2025-05-02 02:00:00;Region Hovedstaden;Privat;Privat;201335,587000
2025-05-02 01:00:00;2025-05-02 03:00:00;Region Hovedstaden;Privat;Privat;180660,953000
2025-05-02 02:00:00;2025-05-02 04:00:00;Region Hovedstaden;Privat;Privat;158816,364000
2025-05-02 03:00:00;2025-05-02 05:00:00;Region Hovedstaden;Privat;Privat;150781,421000
2025-05-02 04:00:00;2025-05-02 06:00:00;Region Hovedstaden;Privat;Privat;184763,917000
2025-05-02 05:00:00;2025-05-02 07:00:00;Region Hovedstaden;Privat;Privat;213816,566000
2025-05-02 06:00:00;2025-05-02 08:00:00;Region Hovedstaden;Privat;Privat;212886,801000
2025-05-02 07:00:00;2025-05-02 09:00:00;Region Hovedstaden;Privat;Privat;212593,749000
2025-05-02 08:00:00;2025-05-02 10:00:00;Region Hovedstaden;Privat;Privat;233087,452000
2025-05-02 09:00:00;2025-05-02 11:00:00;Region Hovedstaden;Privat;Privat;243149,074000
2025-05-02 10:00:00;2025-05-02 12:00:00;Region Hovedstaden;Privat;Privat;250186,857000
2025-05-02 11:00:00;2025-05-02 13:00:00;Region Hovedstaden;Privat;Privat;244180,065000
2025-05-02 12:00:00;2025-05-02 14:00:00;Region Hovedstaden;Privat;Privat;241670,738000
2025-05-02 13:00:00;2025-05-02 15:00:00;Region Hovedstaden;Privat;Privat;247508,165000
2025-05-02 14:00:00;2025-05-02 16:00:00;Region Hovedstaden;Privat;Privat;270805,438000
2025-05-02 15:00:00;2025-05-02 17:00:00;Region Hovedstaden;Privat;Privat;306283,651000
2025-05-02 16:00:00;2025-05-02 18:00:00;Region Hovedstaden;Privat;Privat;322980,233000
2025-05-02 17:00:00;2025-05-02 19:00:00;Region Hovedstaden;Privat;Privat;299943,889000
2025-05-02 18:00:00;2025-05-02 20:00:00;Region Hovedstaden;Privat;Privat;277695,124000
2025-05-02 19:00:00;2025-05-02 21:00:00;Region Hovedstaden;Privat;Privat;272459,970000
2025-05-02 20:00:00;2025-05-02 22:00:00;Region Hovedstaden;Privat;Privat;253391,549000
2025-05-02 21:00:00;2025-05-02 23:00:00;Region Hovedstaden;Privat;Privat;228258,396000
2025-05-02 22:00:00;2025-05-03 00:00:00;Region Hovedstaden;Privat;Privat;229048,828000
2025-05-02 23:00:00;2025-05-03 01:00:00;Region Hovedstaden;Privat;Privat;218198,947000
2025-05-03 00:00:00;2025-05-03 02:00:00;Region Hovedstaden;Privat;Privat;198313,558000
2025-05-03 01:00:00;2025-05-03 03:00:00;Region Hovedstaden;Privat;Privat;173718,272000
2025-05-03 02:00:00;2025-05-03 04:00:00;Region Hovedstaden;Privat;Privat;158550,888000
2025-05-03 03:00:00;2025-05-03 05:00:00;Region Hovedstaden;Privat;Privat;152698,718000
2025-05-03 04:00:00;2025-05-03 06:00:00;Region Hovedstaden;Privat;Privat;165687,168000
2025-05-03 05:00:00;2025-05-03 07:00:00;Region Hovedstaden;Privat;Privat;207192,486000
2025-05-03 06:00:00;2025-05-03 08:00:00;Region Hovedstaden;Privat;Privat;255090,966000
2025-05-03 07:00:00;2025-05-03 09:00:00;Region Hovedstaden;Privat;Privat;291455,744000
