real_time,demo_cycle,slot,time_label,interval_label,ems_enabled,ems_status,price_dkk_kwh,price_state,demand_mW,pv_available,target_scenario,actual_scenario,scenario_accepted,reject_reason,scheduler_reason,command,panel_voltage_V,battery_voltage_V,pem_voltage_V,load_voltage_V,pv_current_mA,battery_current_mA,pem_current_mA,load_current_mA,pv_power_mW,battery_power_mW,pem_power_mW,load_power_mW,virtual_battery_soc_percent,virtual_battery_charge_mAh,virtual_battery_capacity_mAh,virtual_battery_charge_state,real_battery_soc_percent,real_battery_charge_mAh,real_battery_capacity_mAh,real_battery_charge_state,real_battery_soc_initialized,real_battery_soc_status,real_battery_initial_lookup_voltage,real_battery_lookup_soc_percent,pem_soc_percent,h2_volume_mL,h2_usable_mL,h2_mode,load_trigger
2026-05-12T13:21:04+02:00,0,0,00:00,00:00-00:15,True,running,0.9906426340000001,HIGH,34.314081,False,5,1,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.48875,3.69575,1.09975,5.12775,0.15,-0.025,-0.042,-0.008,0.523,-0.092,-0.046,-0.041,50.0,5.0,10.0,medium,4.627772335176496,92.55544670352991,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.7079716918146595,100.0,15.6,8.0,idle,1
2026-05-12T13:21:19+02:00,0,1,00:15,00:15-00:30,True,running,0.9415476,HIGH,33.782637,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.45125,3.642,1.06725,3.6015,0.15,-9.875,-0.042,9.792,0.518,-35.965,-0.045,35.266,49.590824343268515,4.959082434326851,10.0,medium,4.626074959990069,92.52149919980138,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.846708505808518,100.0,15.6,8.0,idle,1
2026-05-12T13:21:34+02:00,0,2,00:30,00:30-00:45,True,running,0.9198023040000001,HIGH,33.251193,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.40625,3.6445,1.066,3.61275,0.15,-9.75,-0.042,9.867,0.511,-35.534,-0.045,35.647,49.217305529346774,4.921730552934677,10.0,medium,4.624096059557322,92.48192119114645,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.8867672586460125,100.0,15.6,8.0,idle,1
2026-05-12T13:21:50+02:00,0,3,00:45,00:45-01:00,True,running,0.8888657480000001,HIGH,32.719749,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.3675,3.6445,1.06475,3.609,0.15,-10.2,-0.042,10.317,0.505,-37.174,-0.045,37.234,48.82115653219971,4.882115653219971,10.0,medium,4.621943737720148,92.43887475440297,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.8867672586460125,100.0,15.6,8.0,idle,1
2026-05-12T13:22:04+02:00,0,4,01:00,01:00-01:15,True,running,0.883037127,HIGH,32.188306,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.38,3.64325,1.0635,3.61775,0.15,-9.85,-0.042,9.942,0.507,-35.886,-0.045,35.968,48.45844879877231,4.845844879877231,10.0,medium,4.619950723761476,92.39901447522952,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.866737882227269,100.0,15.6,8.0,idle,1
2026-05-12T13:22:20+02:00,0,5,01:15,01:15-01:30,True,running,0.870632641,HIGH,31.127182,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.40625,3.64075,1.056,3.609,0.15,-8.625,-0.042,8.767,0.511,-31.401,-0.045,31.64,48.075751981715044,4.807575198171504,10.0,medium,4.617958295629495,92.3591659125899,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.826679129389775,100.0,15.6,8.0,idle,1
2026-05-12T13:22:34+02:00,0,6,01:30,01:30-01:45,True,running,0.8665226890000001,HIGH,30.066059,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.32375,3.64825,1.061,3.61525,0.15,-8.875,-0.042,9.017,0.499,-32.378,-0.045,32.599,47.73213681669033,4.773213681669033,10.0,medium,4.616072009635363,92.32144019270726,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.946855387902257,100.0,15.6,8.0,idle,1
2026-05-12T13:22:49+02:00,0,7,01:45,01:45-02:00,True,running,0.861590802,HIGH,29.004935,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.38625,3.647,1.05975,3.61525,0.15,-8.825,-0.042,9.017,0.508,-32.185,-0.045,32.599,47.400482502775375,4.740048250277537,10.0,medium,4.614289150197742,92.28578300395485,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.9268260114835067,100.0,15.6,8.0,idle,1
2026-05-12T13:23:04+02:00,0,8,02:00,02:00-02:15,True,running,0.85546327,HIGH,27.943812,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.3625,3.64575,1.05475,3.614,0.15,-8.425,-0.042,8.592,0.504,-30.715,-0.044,31.051,47.05597834141729,4.705597834141728,10.0,medium,4.612359042496078,92.24718084992156,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.906796635064763,100.0,15.6,8.0,idle,1
2026-05-12T13:23:19+02:00,0,9,02:15,02:15-02:30,True,running,0.8612918909999999,HIGH,26.482082,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.215,3.64825,1.05725,3.6165,0.15,-8.55,-0.042,8.692,0.482,-31.193,-0.045,31.435,46.74751801850999,4.6747518018509995,10.0,medium,4.61063588279812,92.21271765596241,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.946855387902257,100.0,15.6,8.0,idle,1
