sensor,sheet,load,R_nom_ohm,time_start_s,time_end_s,n_samples,V_ref_V,V_ref_uncert_V,V_INA_mean_V,V_INA_std_V,Delta_V,Error_pct
Sensor 40,Sensor40_Voltage_3_3V,0,,1005,1090,83,3.302,0.005,3.3707084337349396,0.0005937078240274522,0.06870843373493951,2.0808126509672777
Sensor 40,Sensor40_Voltage_3_3V,220,220.0,1105,1190,84,3.291,0.005,3.3591714285714267,0.0005580886980009721,0.06817142857142677,2.0714502756434756
Sensor 40,Sensor40_Voltage_3_3V,2×220,110.0,1305,1390,84,3.28,0.005,3.3363000000000005,4.467564362929443e-16,0.05630000000000068,1.7164634146341673
Sensor 40,Sensor40_Voltage_3_3V,3×220,73.3,1405,1490,83,3.269,0.005,3.1835253012048184,0.002729238407728034,-0.08547469879518177,-2.61470476583609
Sensor 40,Sensor40_Voltage_3_3V,4×220,55.0,1505,1590,1,3.117,0.005,3.1875,0.0,0.07050000000000001,2.261790182868143
Sensor 41,Sensor41_Voltage_3_3V,0,,205,290,84,3.303,0.005,3.368914285714286,0.0003543678767646434,0.06591428571428626,1.9955884261061536
Sensor 41,Sensor41_Voltage_3_3V,220,220.0,305,390,84,3.291,0.005,3.3570857142857156,0.0005739616831891226,0.06608571428571564,2.0080739679646196
Sensor 41,Sensor41_Voltage_3_3V,2×220,110.0,405,490,83,3.279,0.005,3.3450000000000006,0.00020302589045516554,0.06600000000000072,2.0128087831656214
Sensor 41,Sensor41_Voltage_3_3V,3×220,73.3,505,590,83,3.267,0.005,3.332546987951807,0.00024411979735948117,0.06554698795180691,2.006335719369664
Sensor 41,Sensor41_Voltage_3_3V,4×220,55.0,605,690,83,3.116,0.005,3.1802771084337347,0.0022911987117836792,0.06427710843373458,2.0628083579504035
Sensor 44,Sensor44_Voltage_3_3V,0,,105,190,84,3.303,0.005,3.485257142857143,0.0004953484143865198,0.1822571428571429,5.517927425284375
Sensor 44,Sensor44_Voltage_3_3V,220,220.0,205,290,84,3.292,0.005,3.4731809523809534,0.0006531621305537357,0.18118095238095355,5.50367413064865
Sensor 44,Sensor44_Voltage_3_3V,2×220,110.0,305,390,84,3.28,0.005,3.4613000000000005,4.467564362929443e-16,0.18130000000000068,5.527439024390265
Sensor 44,Sensor44_Voltage_3_3V,3×220,73.3,405,490,83,3.268,0.005,3.4489301204819274,0.0003753810875855513,0.18093012048192758,5.53641739540782
Sensor 44,Sensor44_Voltage_3_3V,4×220,55.0,505,590,83,3.116,0.005,3.2892204819277113,0.0020015091279589926,0.17322048192771122,5.559065530414353
Sensor 45,Sensor45_Voltage_3_3V,0,,105,190,83,3.303,0.005,3.3674289156626513,0.00034765069393808405,0.06442891566265141,1.950618094539855
Sensor 45,Sensor45_Voltage_3_3V,220,220.0,205,290,84,3.291,0.005,3.3550773809523813,0.00036941868710153457,0.06407738095238136,1.947048950239482
Sensor 45,Sensor45_Voltage_3_3V,2×220,110.0,305,390,84,3.279,0.005,3.3428142857142853,0.0005307741237061352,0.06381428571428538,1.9461508299568582
Sensor 45,Sensor45_Voltage_3_3V,3×220,73.3,405,490,84,3.267,0.005,3.3311428571428574,0.0002570854783945651,0.0641428571428575,1.9633565088110654
Sensor 45,Sensor45_Voltage_3_3V,4×220,55.0,505,590,83,3.11,0.005,3.1716228915662645,0.0011688357039091766,0.06162289156626466,1.9814434587223362
